index,latitude,longitude,street_name,street_counter
65,43.7195462,10.3999770,Via Corsica; Piazza dei Cavalieri,2
66,43.7256525,10.3906496,Via Mino Rosi; Via Marinello Nelli,2
67,43.7196868,10.4018689,Via Consoli del Mare; Via Canto del Nicchio; Via Santa Apollonia,3
68,43.7193552,10.4003227,Via Consoli del Mare; Piazza dei Cavalieri,2
69,43.7178518,10.4018389,Piazza Giovan Battista Donati; Piazza Sant'Omobono,2
70,43.718127,10.3969295,Via Alessandro Volta; Via Santa Maria,2
71,43.7185764,10.3954069,Via Alessandro Volta; Via Derna; Via Roma,3
72,43.7213169,10.4019478,Via San Giuseppe; Via Santa Apollonia,2
73,43.7193247,10.3929429,Via Derna; Via Nicola Pisano,2
74,43.7152091,10.4010139,Via Garofani; Via Pietro Toselli; Via Pietro Toselli,3
75,43.7143622,10.4004438,Via Garofani; Piazza dei Grilletti,2
76,43.7144221,10.4001763,Via dell'Occhio; Piazza dei Grilletti,2
77,43.715441,10.4006405,Via dell'Occhio; Via Pietro Toselli; Via Pietro Toselli,3
78,43.7140585,10.4011719,Via San Bernardo; Via della Foglia; Vicolo dell'Oro; Via Empanada,4
80,43.7137774,10.4021925,Via San Bernardo; Vicolo Rosselmini; Vicolo Borghese,3
81,43.7143129,10.4024901,Vicolo Rosselmini; Via San Martino,2
82,43.7184888,10.3882776,Via Turino Vanni; Via Spinello Aretino,2
83,43.7201818,10.3990435,Via Dalmazia; Via Uguccione della Faggiola,2
84,43.7159922,10.3927926,Via Volturno; Via San Vito,2
85,43.7149487,10.3936246,Via San Vito; Lungarno Ranieri Simonelli; Lungarno Ranieri Simonelli,3
86,43.7172173,10.4011256,Via Porton Rosso; Via Domenico Cavalca,2
87,43.7174903,10.4007603,Vicolo del Tidi; Via Quarantotti; Via Domenico Cavalca; Via Santa Margherita,4
88,43.7215349,10.3957813,Via Angelo Galli Tassi; Via Roma,2
89,43.7215057,10.3966777,Via Angelo Galli Tassi; Via Porta Buozzi,2
90,43.7198467,10.396716,Via Porta Buozzi; Via Luca Ghini,2
91,43.7198819,10.3973556,Via Luca Ghini; Via Santa Maria; Piazza Felice Cavallotti,3
92,43.7208932,10.3978034,Piazza Felice Cavallotti; Via Don Gaetano Boschi; Via Giacomo Leopardi,3
93,43.7180247,10.39365,Via Risorgimento; Via Magenta,2
94,43.71779,10.3951959,Via Risorgimento; Via Roma; Via Roma,3
95,43.7170109,10.3933401,Via Magenta; Via Trieste,2
96,43.7165899,10.396422,Via San Niccola; Via Santa Maria; Via San Nicola; Via Trento,4
97,43.7167786,10.3956664,Via Trento; Via Ricucchi,2
98,43.7168523,10.39526,Via Trento; Via Santa Lucia,2
99,43.7169278,10.3949365,Via Trento; Via Trieste; Via Roma,3
100,43.717472,10.3919227,Via Trieste; Via Nicola Pisano,2
101,43.7161419,10.3952414,Via Santa Lucia; Piazza Vittorio Locchi; Via del Buongusto,3
102,43.717876,10.4007659,Via Santa Margherita; Via Tavoleria,2
103,43.7179668,10.4005045,Via del Castelletto; Via Tavoleria,3
104,43.7178101,10.4010112,Via Quarantotti; Via del Castelletto; Via Tavoleria,3
105,43.7176171,10.4016837,Via Tavoleria; Piazza Sant'Omobono,2
